Movie,Directed by,Produced by,Screenplay by,Story by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time (in minutes),Country,Language,Budget (in millions of dollars),Box office (in millions of dollars)
,,,,,,,,,,,,,,,,,
Iron Man,Jon Favreau,"Avi Arad, Kevin Feige","Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway",,Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow",Ramin Djawadi,Matthew Libatique,Dan Lebental,"Marvel Studios, Fairview Entertainment",Paramount Pictures,4/14/08,126,United States,English,140,585.2
,,,,,,,,,,,,,,,,,
The Incredible Hulk,Louis Leterrier,"Avi Arad, Gale Anne Hurd, Kevin Feige",Zak Penn,,Hulk,"Edward Norton, Liv Tyler, Tim Roth, Tim Blake Nelson, Ty Burrell, William Hurt",Craig Armstrong,Peter Menzies Jr.,"John Wright, Rick Shaine, Vincent Tabaillon","Marvel Studios, Valhalla Motion Pictures",Universal Pictures,6/8/08,112,United States,English,150,263.4
,,,,,,,,,,,,,,,,,
Iron Man 2,Jon Favreau,Kevin Feige,Justin Theroux,,Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Mickey Rourke, Samuel L. Jackson",John Debney,Matthew Libatique,"Dan Lebental, Richard Pearson","Marvel Studios, Fairview Entertainment",Paramount Pictures,4/26/10,125,United States,English,200,623.9
,,,,,,,,,,,,,,,,,
Thor,Kenneth Branagh,Kevin Feige,"Ashley Edward Miller, Zack Stentz, Don Payne","J. Michael Straczynski, Mark Protosevich",Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Colm Feore, Ray Stevenson, Idris Elba, Kat Dennings, Rene Russo, Anthony Hopkins",Patrick Doyle,Haris Zambarloukos,Paul Rubell,Marvel Studios ,Paramount Pictures,4/17/11,114,United States,English,150,449.3
,,,,,,,,,,,,,,,,,
Captain America: The First Avenger,Joe Johnston,Kevin Feige,"Christopher Markus, Stephen McFeely",,Captain America,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal McDonough, Derek Luke, Stanley Tucci",Alan Silvestri,Shelly Johnson,"Jeffrey Ford, Robert Dalva",Marvel Studios ,Paramount Pictures,7/19/11,124,United States,English,216.7,370.6
,,,,,,,,,,,,,,,,,
The Avengers,Joss Whedon,Kevin Feige,Joss Whedon,"Zak Penn, Joss Whedon",The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson",Alan Silvestri,Seamus McGarvey,"Jeffrey Ford, Lisa Lassek",Marvel Studios ,Walt Disney Studios Motion Pictures,4/11/12,143,United States,English,220,"1,519"
,,,,,,,,,,,,,,,,,
Iron Man 3,Shane Black,Kevin Feige,"Drew Pearce, Shane Black",,Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stéphanie Szostak, James Badge Dale, Jon Favreau, Ben Kingsley",Brian Tyler,John Toll,"Jeffrey Ford, Peter S. Elliot",Marvel Studios ,Walt Disney Studios Motion Pictures,4/14/13,131,United States,English,200,"1,215"
,,,,,,,,,,,,,,,,,
